Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
66,103681907,2.242070852,44.09,303630658,542238,304172896
67,103841211,1.781423030,55.59,307158943,543741,307702684
68,103676757,2.065300919,47.87,312865686,545821,313411507
69,103733404,1.003616158,98.56,313400485,546145,313946630
70,107877248,4.886499515,21.05,330146955,566209,330713164
71,98847116,3.834907832,24.57,340407190,516630,340923820
72,99179394,2.753992285,34.34,347345840,532566,347878406
73,99741606,3.082163199,30.86,357105644,538525,357644169
74,100710465,2.714279172,35.38,363914145,543782,364457927
75,101483591,2.498200779,38.73,370053549,548945,370602494
76,102083723,2.415505173,40.30,375688895,555413,376244308
77,103291730,2.816738450,34.96,382634070,563395,383197465
78,103535601,2.336924846,42.24,387921844,565489,388487333
79,103459036,1.955014351,50.46,392900311,566786,393467097
80,103661012,1.747399084,56.56,396078267,567502,396645769
81,103699369,1.696497198,58.29,398908821,569759,399478580
82,106364240,1.772756965,57.21,401297528,571288,401868816
83,107868656,1.198193097,85.85,401681102,569085,402250187
84,108379556,2.552204121,40.49,407698410,574272,408272682
85,108594291,2.031029276,50.98,411892775,575917,412468692
86,108507728,2.275614381,45.47,416876365,578779,417455144
87,108746225,2.291548196,45.25,423450251,580087,424030338
88,108906551,1.368332796,75.90,426008476,580411,426588887
89,107076340,3.901192016,26.17,436508752,573460,437082212
90,107699111,2.698058935,38.06,443139776,580929,443720705
91,108084637,2.382070706,43.26,448614343,582369,449196712
92,108444974,2.319325845,44.59,453770400,583501,454353901
93,108792788,2.781293926,37.30,460670572,586115,461256687
94,109684831,2.806979726,37.26,467579109,589934,468169043
95,110100244,2.893822837,36.28,474879890,593873,475473763
96,111923245,3.246614667,32.87,483534739,600283,484135022
97,114880713,2.474981718,44.26,489219520,601612,489821132
98,115263816,2.159219830,50.90,493491868,602680,494094548
99,115332134,2.076830639,52.95,497747278,603785,498351063
100,115475785,1.968061259,55.95,501494388,604825,502099213
1,95072414,5.332670566,17.00,27017233,492181,27509414
2,95172660,1.886684325,48.10,31221788,492512,31714300
3,95633624,2.128979213,42.83,38769577,492738,39262315
4,95710717,1.650248286,55.30,43452998,491707,43944705
5,95767418,1.764793926,51.75,47439749,492387,47932136
6,95874517,1.953452833,46.80,54324656,493071,54817727
7,96031005,1.401250267,65.35,56611673,493465,57105138
8,96073810,1.536057916,59.64,60904004,493787,61397791
9,96156132,.987728053,92.83,61560935,494109,62055044
10,96181716,1.016789668,90.20,62250260,494530,62744790
11,96225095,1.090103402,84.17,63085800,494942,63580742
12,96280016,1.059889029,86.62,64062779,495266,64558045
13,96295453,.932916270,98.43,64544060,495678,65039738
14,96159344,1.011490607,90.65,65188989,496002,65684991
15,96211395,.966088126,94.97,65783848,496326,66280174
16,97419644,4.365454025,21.28,80530238,516044,81046282
17,92656128,3.560595821,24.81,92032744,496494,92529238
18,92958211,2.251560432,39.37,98577651,497721,99075372
19,93342477,1.785655612,49.84,102315962,499648,102815610
20,93684968,1.865324970,47.89,106353507,501187,106854694
21,93855134,1.923254022,46.53,110533648,502450,111036098
22,94105945,2.073017066,43.28,115151020,503870,115654890
23,94494954,2.091348106,43.08,119841174,515051,120356225
24,94930340,2.248726167,40.25,124743981,517533,125261514
25,96567704,1.746173663,52.73,127947455,518041,128465496
26,96574342,.985897907,93.41,128423538,518365,128941903
27,96788905,1.777366373,51.93,131663663,519282,132182945
28,97165615,1.419402235,65.28,134990532,519598,135510130
29,97252200,1.353270841,68.53,136699256,519995,137219251
30,97352699,1.194515827,77.72,137708131,519164,138227295
31,97692230,2.311023335,40.31,143071307,520376,143591683
32,97920212,1.653923844,56.45,146223220,520996,146744216
33,97974831,1.638696705,57.01,149024800,521320,149546120
34,98288476,2.135212853,43.89,155739809,522197,156262006
35,98417569,2.382377283,39.39,163644240,522881,164167121
36,98524809,1.894419742,49.59,168055198,526877,168582075
37,98718707,2.040216567,46.14,173006801,530771,173537572
38,98939219,2.356985518,40.02,180798083,531461,181329544
39,99175341,2.095241558,45.14,185767891,532428,186300319
40,99235132,1.140677981,82.95,186829758,532752,187362510
41,99245708,.923994562,102.42,187158860,533164,187692024
42,99616951,1.072791793,88.55,187805125,533488,188338613
43,99673755,1.015741529,93.57,188410535,533812,188944347
44,102067239,4.590871455,21.20,203575874,522530,204098404
45,97037979,3.383483132,27.35,211848124,514431,212362555
46,96139199,2.151521148,42.61,216682597,506787,217189384
47,96531666,2.170913386,42.40,221544108,509822,222053930
48,96497220,1.961974566,46.90,225680899,508178,226189077
49,96781557,1.828850083,50.46,230985988,510316,231496304
50,97038998,1.936499526,47.78,235060260,512424,235572684
51,97356817,1.910921805,48.58,239058041,514788,239572829
52,98422334,2.588177442,36.26,245044292,519550,245563842
53,101214785,1.573960365,61.32,247614480,520026,248134506
54,101296041,1.441500354,67.01,249629748,520254,250150002
55,101368542,1.476794125,65.45,251626172,520474,252146646
56,101544694,1.818728858,53.24,254893021,521507,255414528
57,101976969,1.516753255,64.11,256709644,525430,257235074
58,102038483,1.063814424,91.47,257112583,525746,257638329
59,102561389,2.536813042,38.55,263249736,532274,263782010
60,102867616,2.310325253,42.46,268922026,533110,269455136
61,103124716,2.329911190,42.20,274455092,534490,274989582
62,103346421,2.589226940,38.06,281565003,535672,282100675
63,103267224,2.469780082,39.87,289467502,538249,290005751
64,103390545,1.771746720,55.65,293262251,538765,293801016
65,103417233,1.873125878,52.64,296991963,539326,297531289
66,103681907,2.217126624,44.59,303630658,542238,304172896
67,103841211,1.755603281,56.40,307158943,543741,307702684
68,103676757,2.016485082,49.03,312865686,545821,313411507
69,103733404,1.005467593,98.38,313400485,546145,313946630
70,107877248,4.906914899,20.96,330146955,566209,330713164
71,98847116,3.874236411,24.32,340411286,516630,340927916
72,99179394,2.741204016,34.50,347345840,532566,347878406
73,99741606,3.119537755,30.49,357105644,538525,357644169
74,100710465,2.719286825,35.31,363914145,543782,364457927
75,101483591,2.516455460,38.45,370053549,548945,370602494
76,102083723,2.431503116,40.03,375688895,555413,376244308
77,103291730,2.818563694,34.94,382634070,563395,383197465
78,103535601,2.325364838,42.45,387921844,565489,388487333
79,103459036,1.919403555,51.40,392900311,566786,393467097
80,103661012,1.719714099,57.48,396078267,567502,396645769
81,103699369,1.702675168,58.07,398908821,569759,399478580
82,106364240,1.712497187,59.22,401297528,571288,401868816
83,107868656,1.214193569,84.72,401681102,569085,402250187
84,108379556,2.547165839,40.57,407698410,574272,408272682
85,108594291,1.979981015,52.30,411892775,575917,412468692
86,108507728,2.248155162,46.02,416876365,578779,417455144
87,108746225,2.297021057,45.14,423450251,580087,424030338
88,108906551,1.367416051,75.95,426008476,580411,426588887
89,107076340,3.883211559,26.29,436508752,573460,437082212
90,107699111,2.729692587,37.62,443139776,580929,443720705
91,108084637,2.379980698,43.30,448614343,582369,449196712
92,108444974,2.338412073,44.22,453770400,583501,454353901
93,108792788,2.801410735,37.03,460670572,586115,461256687
94,109684831,2.823511464,37.04,467579109,589934,468169043
95,110100244,2.941164878,35.69,474879890,593873,475473763
96,111923245,3.225792307,33.08,483534739,600283,484135022
97,114880713,2.486724861,44.05,489219520,601612,489821132
98,115263816,2.164362184,50.78,493491868,602680,494094548
99,115332134,2.080928162,52.85,497747278,603785,498351063
100,115475785,1.972999099,55.81,501494388,604825,502099213
