Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.462285964,0,61.462285964
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.047904215,0,68.047904215
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.006312861,0,249.006312861
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3701.682822455,0,3701.682822455
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3832.414022017,0,3832.414022017
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,35.973324350,0,35.973324350
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.082772336,0,14.082772336
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.306471141,0,1197.306471141
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.462285964,0,61.462285964
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.047904215,0,68.047904215
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.006312861,0,249.006312861
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3701.682822455,0,3701.682822455
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3832.414022017,0,3832.414022017
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,35.973324350,0,35.973324350
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.082772336,0,14.082772336
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.306471141,0,1197.306471141
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.462285964,0,61.462285964
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.047904215,0,68.047904215
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.006312861,0,249.006312861
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3701.682822455,0,3701.682822455
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3832.414022017,0,3832.414022017
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,37.435862457,0,37.435862457
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.365861592,0,14.365861592
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.559403919,0,1197.559403919
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.787578512,0,61.787578512
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.787055963,0,68.787055963
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.447946820,0,249.447946820
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3708.869044389,0,3708.869044389
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3858.250607103,0,3858.250607103
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,37.435862457,0,37.435862457
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.365861592,0,14.365861592
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.559403919,0,1197.559403919
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.787578512,0,61.787578512
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.787055963,0,68.787055963
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.447946820,0,249.447946820
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3708.869044389,0,3708.869044389
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3858.250607103,0,3858.250607103
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,37.435862457,0,37.435862457
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.365861592,0,14.365861592
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.559403919,0,1197.559403919
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.787578512,0,61.787578512
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.787055963,0,68.787055963
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.447946820,0,249.447946820
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3708.869044389,0,3708.869044389
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3858.250607103,0,3858.250607103
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,37.435862457,0,37.435862457
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.365861592,0,14.365861592
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.559403919,0,1197.559403919
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.787578512,0,61.787578512
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.787055963,0,68.787055963
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.447946820,0,249.447946820
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3708.869044389,0,3708.869044389
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3858.250607103,0,3858.250607103
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,37.435862457,0,37.435862457
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.365861592,0,14.365861592
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.559403919,0,1197.559403919
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.787578512,0,61.787578512
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.787055963,0,68.787055963
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.447946820,0,249.447946820
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3708.869044389,0,3708.869044389
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3858.250607103,0,3858.250607103
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,37.435862457,0,37.435862457
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.365861592,0,14.365861592
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.559403919,0,1197.559403919
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.787578512,0,61.787578512
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.787055963,0,68.787055963
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.447946820,0,249.447946820
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3708.869044389,0,3708.869044389
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3858.250607103,0,3858.250607103
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,37.435862457,0,37.435862457
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.365861592,0,14.365861592
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.559403919,0,1197.559403919
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.787578512,0,61.787578512
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.787055963,0,68.787055963
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.447946820,0,249.447946820
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3708.869044389,0,3708.869044389
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3858.250607103,0,3858.250607103
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,37.435862457,0,37.435862457
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.365861592,0,14.365861592
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1197.559403919,0,1197.559403919
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.787578512,0,61.787578512
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,68.787055963,0,68.787055963
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,249.447946820,0,249.447946820
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3708.869044389,0,3708.869044389
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3858.250607103,0,3858.250607103
